,0
0,Anenii Noi
1,Balti
2,Basarabeasca
3,Briceni
4,Cahul
5,Camenca
6,Cantemir
7,Cantemir
8,Causeni
9,Ceadir-Lunga
10,Ceadir-Lunga
11,Chisinau
12,Cimislia
13,Comrat
14,Cricova
15,Dnestrovsc
16,Donduseni
17,Drochia
18,Dubasari
19,Edinet
20,Falesti
21,Floresti
22,Glodeni
23,Grigoriopol
24,Ialoveni
25,Leova
26,Nisporeni
27,Ocnita
28,Orhei
29,Rezina
30,Ribnita
31,Riscani
32,Sangerei
33,Singerei
34,Slobozia
35,Soldanesti
36,Straseni
37,Taraclia
38,Telenesti
39,Tiraspol
40,Ungheni
41,Vadul lui Voda
42,Vulcanesti
